year,weight_kg,product_category,departure_place,departure_region,arrival_place,arrival_region
1700,0.494,Nutmeg,Amboina,Amboina,Banda-Neira,Banda
1700,197.6,Nutmeg,,Ceylon,,Malabar
1700,15.314,Nutmeg,Batavia,Batavia,,Siam
1700,7434.4529999999995,Nutmeg,Batavia,Batavia,Malakka,Malakka
1700,199502.888,Pepper,Batavia,Batavia,Rotterdam,Republiek
1700,4184.18,Nutmeg,Batavia,Batavia,Malakka,Malakka
1700,61.75,Sugar,Batavia,Batavia,,Timor
1700,4274.088,Sugar,Batavia,Batavia,Ternate,Ternate
1700,4098.224,Sugar,Batavia,Batavia,Ternate,Ternate
1700,130780.078,Sugar,Batavia,Batavia,Nagasaki,Japan
1700,2470.0,Sugar,Batavia,Batavia,Kaap de Goede Hoop,Kaap de Goede Hoop
1700,1235.0,Sugar,Batavia,Batavia,Surat,Surat
1700,1235.0,Sugar,Batavia,Batavia,Surat,Surat
1700,37234.262,Sugar,Batavia,Batavia,Surat,Surat
1700,1288.846,Sugar,Batavia,Batavia,,Coromandel
1700,6937.242,Sugar,Batavia,Batavia,,Perzië
1700,98.8,Coffee,Surat,Surat,Batavia,Batavia
1700,2.4699999999999998,Nutmeg,Batavia,Batavia,,Timor
1700,4.9399999999999995,Opium,Batavia,Batavia,Ternate,Ternate
1700,2.45,Nutmeg,Batavia,Batavia,,Bengalen
1700,7057.778,Silk,Batavia,Batavia,Hoorn,Republiek
1700,50388.0,Cloves,Batavia,Batavia,Hoorn,Republiek
1700,8385.34125,Silk,Batavia,Batavia,Rotterdam,Republiek
1700,10784.514,Silk,Batavia,Batavia,Zeeland,Republiek
1700,5739.539,Silk,Batavia,Batavia,Delft,Republiek
1700,26947.51475,Silk,Batavia,Batavia,Nagasaki,Japan
1700,33585.51625,Silk,Batavia,Batavia,Amsterdam,Republiek
1700,126234.58146,Silk,,Bengalen,Batavia,Batavia
1700,9538.653903999999,Silk,,Bengalen,Galle,Ceylon
1700,5.928,Silk,,Ceylon,,Malabar
1700,9.879999999999999,Silk,Galle,Ceylon,Nagapattinam,Coromandel
1700,7088.9,Tea,Batavia,Batavia,Zeeland,Republiek
1700,2618.2,Tea,Batavia,Batavia,Delft,Republiek
1700,19362.824,Tea,Batavia,Batavia,Amsterdam,Republiek
1700,4575.428,Tea,Batavia,Batavia,Enkhuizen,Republiek
1700,3120.598,Tea,Batavia,Batavia,Rotterdam,Republiek
1700,3720.314,Tea,Batavia,Batavia,Hoorn,Republiek
1700,1286.0055,Cloves,Batavia,Batavia,,Ceylon
1700,0.1,Cloves,Batavia,Batavia,Rotterdam,Republiek
1700,50388.0,Cloves,Batavia,Batavia,Rotterdam,Republiek
1700,4.9399999999999995,Cloves,Batavia,Batavia,,Timor
1700,12.35,Cloves,Batavia,Batavia,,Timor
1700,0.1,Cloves,Batavia,Batavia,Hoorn,Republiek
1700,247.0,Cloves,Batavia,Batavia,,Siam
1700,0.1,Cloves,Batavia,Batavia,Delft,Republiek
1700,50388.0,Cloves,Batavia,Batavia,Delft,Republiek
1700,1435.6875,Cloves,Batavia,Batavia,,Perzië
1700,0.2,Cloves,Batavia,Batavia,Surat,Surat
1700,9317.828,Cloves,Batavia,Batavia,Nagasaki,Japan
1700,1970.566,Cloves,Batavia,Batavia,Malakka,Malakka
1700,4678.7975,Cloves,Batavia,Batavia,,Bengalen
1700,2462.59,Cloves,Batavia,Batavia,,Coromandel
1700,368.6475,Cloves,Batavia,Batavia,,Malabar
1700,0.5,Cloves,Batavia,Batavia,Zeeland,Republiek
1700,16434.639,Cloves,Batavia,Batavia,Surat,Surat
1700,395709.314,Cloves,Batavia,Batavia,Amsterdam,Republiek
1700,8.0,Cloves,Batavia,Batavia,Amsterdam,Republiek
1700,77.064,Cloves,Surat,Surat,Batavia,Batavia
1700,1265.381,Cloves,,Siam,Nagasaki,Japan
1700,197624.206,Cloves,Batavia,Batavia,Zeeland,Republiek
1700,50388.0,Cloves,Batavia,Batavia,Enkhuizen,Republiek
1700,0.1,Cloves,Batavia,Batavia,Enkhuizen,Republiek
1700,1908.569,Cloves,Malakka,Malakka,Nagapattinam,Coromandel
1700,331703.216,Cloves,Amboina,Amboina,Batavia,Batavia
